ID;type;length;Replicate;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F1415;F1617;F18
sll1755-as;feature;37;3;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
sll1755-as2;feature;227;3;0;0;0;0;1.5;0;7;2.5;1.5;2.5;2.5;0;0.5;1;0;0.5
sll1757;feature;879;3;0;0;1.5;0;1;0;48;21.5;6;9;19;9;11;9.5;5;2
sll1757-3UTR(Kopf);feature;283;3;0;0;0.5;0;2;0;13;7.5;3;5.5;4;7;4;5;0;2
sll1757-5UTR(Kopf);feature;124;3;0;0;1;0;0;1;4;2.5;41.5;20;7.5;2.5;2;1.5;1;1.5
sll1758;feature;1446;3;0.33;0;5;0;3;19.5;135;69;24;24;29;29.5;20;27.5;6;1
sll1758-3UTR(Kopf);feature;288;3;0;0;2;0;0;1.5;4.5;2;0;3;2.5;5;4;3;6;0
sll1758-5UTR(Kopf);feature;27;3;0;0;0;0;2;3;29.5;21;5;4;2.5;0.5;1;3.5;0;0
sll1760;feature;921;3;0;0;0;2;5;11;39;33;6;3.5;14.5;6;10;5;1;1
sll1760-5UTR(Kopf);feature;32;3;0;0;0;0;0;0;3;1;1;0;1.5;0;0;0;0;0
sll1761;feature;615;3;0;0;0;0;0;1;3;3;2;5.5;3;1;3;3;0;0
sll1762;feature;900;3;0;0;0;1;0;7;35.5;26;11;14.67;5;4;11;2;0;0
sll1762-3UTR(Kopf);feature;25;3;0;0;0;0;0;0;0;2;0;0.67;0.5;0;0;0;0;0
sll1762-5UTR(Kopf);feature;29;3;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0
sll1763;feature;405;3;0;0;1;3.83;26.25;46.75;264.42;166.08;48.5;43.33;32.25;18.92;20.17;15;2.33;2
sll1763-3UTR(Kopf);feature;17;3;0;0;0;0.83;0.25;1.58;15.42;11.25;4;1.67;1.75;1.25;2.67;2;0.33;0
sll1763-5UTR(Kopf);feature;85;3;0;0;1;0;0;0.5;3;5.5;0.5;2.67;1;0;0.5;0;0;0
sll1764;feature;435;3;0;0;8;2;12.25;28.58;189.25;167.92;430.5;124.83;99.75;76.08;68;27.5;6;4
sll1764-5UTR(Kopf);feature;51;3;0;0;0;0.33;0.25;1.58;15.92;15.25;1.5;3.17;2.75;2.75;2.67;3.5;0.33;0
sll1765;feature;480;3;0;0;1;0;0;5;59.5;38;6;12;24;10;10;13;0;1
sll1766;feature;1197;3;0;0;6;1;0;7;44.5;25;10;15;19;8;4;3;2;0
sll1767;feature;342;3;0;0;3;1;18;33;79.5;28.5;7.5;11.5;7;3.5;1.5;1;0;0
sll1767-3UTR(Kopf);feature;10;3;0;0;6;4;74;110.5;196;82.5;20.5;12.5;2;3.5;1;2;0;0
sll1767-5UTR(Kopf);feature;142;3;0;0;3;0;2;9.5;29.5;12;6;7;1;0;0.5;1;0;0
sll1768;feature;981;3;0;0;1;0;2;4;22;12.5;12;10;15;9;10;0;2;0
sll1768-5UTR(Kopf);feature;57;3;0;0;0;0;0;0;2;4.5;0;3;1;1;0;0;0;0
sll1769;feature;318;3;0;0;2;0;0;0;13;5;0;3;0;4;2;2;0;0
sll1770;feature;1758;3;0;0;11;2.5;2;2;36;15;14;18;22;7;15;12;0;0
sll1770-as;feature;80;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sll1771;feature;765;3;0;0;2;0;1;5;14;8;6;13;8;12;14;4;0;0
sll1771-as;feature;115;3;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0
sll1772;feature;2469;3;0;0;17;2;1;3;21;16;7;27;12;9;8;13;8;3
sll1773;feature;699;3;0;0;2;0;0;3;66;40;5;26.5;20.5;16;16;4.5;0;0
sll1773-5UTR(Kopf);feature;42;3;0;0;0;0;0;0;1;1;1;4;1;0;0;0.5;0;0
sll1773-as;feature;110;3;0;0;0;2;0;6;10;6;0;3;0;2;2;3;0;0
sll1774;feature;783;3;0;0;4.33;0;3.81;16;141;41.33;8.33;31.67;49.5;32.7;17;25;6;2
sll1775;feature;2454;3;0;0;8.58;1;6;7;72;40.5;17;24;25.5;22;13;4.5;4;1
