,ID,Repl1_F1,Repl1_F2,Repl1_F3,Repl1_F4,Repl1_F5,Repl1_F6,Repl1_F7,Repl1_F8,Repl1_F9,Repl1_F10,Repl1_F11,Repl1_F12,Repl1_F13,Repl1_F1415,Repl1_F1617,Repl1_F18,Repl2_F1,Repl2_F2,Repl2_F3,Repl2_F4,Repl2_F5,Repl2_F6,Repl2_F7,Repl2_F8,Repl2_F9,Repl2_F10,Repl2_F11,Repl2_F12,Repl2_F13,Repl2_F1415,Repl2_F1617,Repl2_F18,Repl3_F1,Repl3_F2,Repl3_F3,Repl3_F4,Repl3_F5,Repl3_F6,Repl3_F7,Repl3_F8,Repl3_F9,Repl3_F10,Repl3_F11,Repl3_F12,Repl3_F13,Repl3_F1415,Repl3_F1617,Repl3_F18,Average_F1,Average_F2,Average_F3,Average_F4,Average_F5,Average_F6,Average_F7,Average_F8,Average_F9,Average_F10,Average_F11,Average_F12,Average_F13,Average_F1415,Average_F1617,Average_F18,SpCorAv,Average_Sum_readcount,Feature_subtype
481,sll0264,0,0,0,0.012356666,0.111910333,0.222678656,0.282078868,0.113823992,0.064495694,0.083454036,0.038405195,0.034675016,0.022911526,0,0.013210018,0,0,0,0.008272797,0.01096471,0.041720745,0.272884816,0.283339028,0.08338546,0.05257751,0.052369257,0.056250269,0.041177586,0.015842,0.023788744,0,0.057427078,0,0,0.002789041,0.006794405,0,0.008982476,0.436314573,0.100975471,0.014108633,0.092771477,0.048818683,0.08125492,0.092926071,0.027957982,0.03937363,0.046932638,0.00E+00,0.00E+00,3.69E-03,1.00E-02,5.12E-02,1.68E-01,3.34E-01,9.94E-02,4.37E-02,7.62E-02,4.78E-02,5.24E-02,4.39E-02,1.72E-02,1.75E-02,3.48E-02,0.593593483,15.91007826,mRNA
482,sll0266,0,0,0,0,0,0.323962972,0.29159046,0.071588549,0.094919693,0,0,0.014175545,0,0,0,0.203762781,0,0,0.008034529,0.106489116,0.01896963,0.107428194,0.175073364,0.125664584,0.225278843,0.132623076,0.029276626,0.05577631,0.015385728,0,0,0,0,0,0.012949641,0.143394217,0,0,0.457445073,0.062511153,0.016376755,0.11665933,0.068000202,0.101090634,0.021572996,0,0,0,0.00E+00,0.00E+00,6.99E-03,8.33E-02,6.32E-03,1.44E-01,3.08E-01,8.66E-02,1.12E-01,8.31E-02,3.24E-02,5.70E-02,1.23E-02,0.00E+00,0.00E+00,6.79E-02,0.439099789,7.6238095,mRNA
483,sll0267,0.000669607,0,0.001999303,0.013762687,0.124644208,0.257220936,0.223510443,0.092643719,0.092666412,0.06904855,0.034138448,0.025103365,0.030622256,0.008321019,0.011770511,0.013878537,6.56E-05,0.000531503,0.007491712,0.061713357,0.045490013,0.165304606,0.237169203,0.12388802,0.106845221,0.098061103,0.04680443,0.028980047,0.029516527,0.018467815,0.018525299,0.01114553,0,0.000484513,0.012354513,0.024320754,0.014645117,0.05894719,0.326046668,0.141806682,0.027776226,0.071535131,0.130711338,0.065153824,0.067690479,0.027520994,0.031006571,0,2.45E-04,3.39E-04,7.28E-03,3.33E-02,6.16E-02,1.60E-01,2.62E-01,1.19E-01,7.58E-02,7.95E-02,7.06E-02,3.97E-02,4.26E-02,1.81E-02,2.04E-02,8.34E-03,0.762106057,78.35672446,mRNA
484,sll0268,0,0,0,0,0.064277703,0.195067827,0.243854676,0.150869648,0.194482346,0.085595213,0.03009374,0,0,0.035758847,0,0,0,0,0,0.021422151,0.152642933,0.194499565,0.029658167,0.146060096,0.048340037,0.026679455,0.023558024,0.033661145,0.061902175,0.037181543,0,0.22439471,0,0,0.005225247,0,0,0.152987315,0.457058877,0.075670728,0.008810808,0.057935566,0.036584581,0.114213672,0.052228898,0.039284308,0,0,0.00E+00,0.00E+00,1.74E-03,7.14E-03,7.23E-02,1.81E-01,2.44E-01,1.24E-01,8.39E-02,5.67E-02,3.01E-02,4.93E-02,3.80E-02,3.74E-02,0.00E+00,7.48E-02,0.478635575,7.488575517,mRNA
485,sll0270,0,0,0,0,0.117694755,0.035753365,0.107268845,0.103696577,0.122215042,0.028239257,0.016547359,0.041066777,0.085927134,0.019662378,0.125160517,0.196767995,0,0,0.007769464,0.173771949,0.055031428,0.064927542,0.124745584,0.05738389,0.177908176,0.060116134,0.106165389,0.033710133,0.029756286,0.044682785,0.064031237,0,0,0,0.033916492,0.022761501,0,0.120366473,0.217835908,0.046140227,0.025995436,0.085466641,0.102542304,0.081837124,0.077048156,0.077269701,0.108820039,0,0.00E+00,0.00E+00,1.39E-02,6.55E-02,5.76E-02,7.37E-02,1.50E-01,6.91E-02,1.09E-01,5.79E-02,7.51E-02,5.22E-02,6.42E-02,4.72E-02,9.93E-02,6.56E-02,0.29691018,12.81773189,mRNA
486,sll0271,0.002706151,0,0.010773319,0,0,0.224213149,0.397501189,0.063058642,0.150962206,0,0.047168293,0,0,0.056047664,0.047569388,0,0.001226596,0,0,0.029836858,0.056693784,0.250833126,0.247848087,0.114757127,0.112213664,0.080511712,0.005468618,0.083348228,0,0.017262201,0,0,0,0,0.017714586,0.039231501,0.106573774,0.138308317,0.292024321,0.098339646,0,0.08838568,0.037208613,0.011063033,0.082630767,0.03995439,0.018756116,0.029809256,1.31E-03,0.00E+00,9.50E-03,2.30E-02,5.44E-02,2.04E-01,3.12E-01,9.21E-02,8.77E-02,5.63E-02,2.99E-02,3.15E-02,2.75E-02,3.78E-02,2.21E-02,9.94E-03,0.433360242,8.863493775,mRNA
487,sll0272,0,0,0.006549929,0.013526411,0.245008665,0.322202452,0.142524249,0.186898723,0.007060118,0.013050603,0.051619022,0.004744691,0,0.006815137,0,0,0,0,0.002195208,0,0,0.293517206,0.166159701,0.095373053,0.090274921,0.036235511,0.027996539,0.030478604,0.016814863,0.02524962,0.063320532,0.152384242,0,0.000923945,0,0,0,0.245257305,0.23249803,0.094318055,0.007062399,0.09287777,0.124630274,0.104627675,0.055819525,0.041985022,0,0,0.00E+00,3.08E-04,2.92E-03,4.51E-03,8.17E-02,2.87E-01,1.80E-01,1.26E-01,3.48E-02,4.74E-02,6.81E-02,4.66E-02,2.42E-02,2.47E-02,2.11E-02,5.08E-02,0.454159289,10.04283988,mRNA
488,sll0273,0,0,0.023368939,0.078970481,0.111254908,0.152738593,0.215057405,0.118131309,0.114496361,0.071959674,0.007441097,0.018467108,0.016269529,0.008841874,0.01876093,0.044241794,0,0,0.002696071,0.058067011,0.089116431,0.180243316,0.173151155,0.13353224,0.143629913,0.077880375,0.058944482,0.014037247,0.03097706,0.01550531,0.022219389,0,0,0,0.006028106,0.066750547,0.120886831,0.183847714,0.177452,0.145495883,0.007623441,0.098167375,0.105514498,0.014117421,0.055232709,0.018883475,0,0,0.00E+00,0.00E+00,1.07E-02,6.79E-02,1.07E-01,1.72E-01,1.89E-01,1.32E-01,8.86E-02,8.27E-02,5.73E-02,1.55E-02,3.42E-02,1.44E-02,1.37E-02,1.47E-02,0.762489823,24.11073115,mRNA
489,sll0274,0,0,0.003187044,0.019744915,0.047686216,0.202000166,0.23367597,0.107263258,0.092752831,0.122239827,0.041861033,0.023086567,0.038136139,0,0.035180831,0.033185201,0,0,0.00202486,0.021469892,0.087965288,0.292399534,0.260087299,0.115419417,0.069643665,0.040108368,0.053123681,0.005622694,0.029469061,0.009316101,0.013350141,0,0,0.000638883,0.001448067,0.021379679,0.145196653,0.04239719,0.316660441,0.186987295,0.031742471,0.064222454,0.063366506,0.038434447,0.060308882,0.027217033,0,0,0.00E+00,2.13E-04,2.22E-03,2.09E-02,9.36E-02,1.79E-01,2.70E-01,1.37E-01,6.47E-02,7.55E-02,5.28E-02,2.24E-02,4.26E-02,1.22E-02,1.62E-02,1.11E-02,0.822485207,31.0115501,mRNA
490,sll0274-3UTR(Kopf),0,0,0,0,0,0,0.197157408,0.121978668,0.134776882,0.124567284,0.218978098,0.09057563,0.019949291,0,0.092016738,0,0,0,0.011448008,0.101154099,0.180192673,0.331649925,0.105033053,0.066316051,0.085597024,0.062989385,0.055619782,0,0,0,0,0,0,0,0.048916448,0,0,0,0.329137103,0.236131922,0.027494291,0.045197254,0.11416287,0.076372693,0,0.12258742,0,0,0.00E+00,0.00E+00,2.01E-02,3.37E-02,6.01E-02,1.11E-01,2.10E-01,1.41E-01,8.26E-02,7.76E-02,1.30E-01,5.56E-02,6.65E-03,4.09E-02,3.07E-02,0.00E+00,0.292966675,2.825029283,3UTR
